,name,cuisine,price,rank,neighborhood,reviews,avg
5914,L'industrie Pizzeria,Italian,1.0,821, Brooklyn,9.0,4.5
5915,Botanica Bar,,,"5,136", Manhattan,8.0,4.5
5916,Downtown Bakery,Mexican,1.0,"5,137", Manhattan,9.0,4.5
5917,Red Hen,American,1.0,"5,138", Manhattan,9.0,4.5
5918,The Weir,,,"5,139", Manhattan,6.0,4.5
5919,Hale & Hearty Soups,Pub,1.0,"5,140", Manhattan,8.0,4.5
5920,Fresh and Co,Fast Food,1.0,"5,141", Manhattan,13.0,4.0
5921,SEO Japanese Restaurant,Asian,,"5,142", Manhattan,22.0,4.0
5922,San Loco,Mexican,2.0,"5,143", Manhattan,21.0,3.5
5923,B.good,Healthy,,"1,140", Brooklyn,8.0,4.5
5924,Eli's Essential,,,"5,144", Manhattan,19.0,4.0
5925,No 1 Chinese Restaurant,Chinese,,"5,145", Manhattan,7.0,4.5
5926,Five Guys Burgers and Fries,,,"5,146", Manhattan,9.0,4.0
5927,Bread & Butter,Fast Food,1.0,"5,147", Manhattan,35.0,3.5
5928,Rinconcito Paisa,Latin,2.0,"5,148", Manhattan,13.0,4.0
5929,Bite,Mediterranean,1.0,"5,149", Manhattan,10.0,4.0
5930,Sri Thai,Asian,,96, Hoboken,17.0,4.0
5931,Hale and Hearty Soups,,,"5,150", Manhattan,10.0,4.5
5932,Schapiro's,American,2.0,"5,151", Manhattan,23.0,4.0
5933,T. J. Byrnes Bar & Restaurant,American,2.0,"5,152", Manhattan,8.0,4.5
5934,Jeckyll and Hyde,American,2.0,"5,153", Manhattan,186.0,3.5
5935,Sbarro,Fast Food,1.0,142, Jersey City,23.0,3.5
5936,Baja Mexican Cuisine,Mexican,2.0,46, Hoboken,39.0,4.0
5937,Viva Toro,Mexican,2.0,"1,042", Brooklyn,32.0,3.5
5938,Subway,,,"5,154", Manhattan,13.0,4.0
5939,Pizza Rollio,Italian,2.0,"5,155", Manhattan,5.0,5.0
5940,Sushi Sushi,Seafood,2.0,"5,156", Manhattan,7.0,4.5
5941,Sunken Hundred,,,"1,146", Brooklyn,14.0,4.0
5942,White Star,Bar,2.0,99, Jersey City,29.0,4.0
5943,A Taste of Katz's,,,"1,148", Brooklyn,19.0,4.0
5944,Mike & Dave's,,,"5,157", Manhattan,5.0,5.0
5945,Fish Tales,Seafood,2.0,"1,151", Brooklyn,7.0,4.5
5946,El Cibao Restaurant,Latin,1.0,"1,152", Brooklyn,9.0,4.5
5947,Local & Vine,Wine Bar,2.0,"5,158", Manhattan,8.0,4.5
5948,Calexico,Mexican,,"5,159", Manhattan,13.0,4.0
5949,Roast Kitchen,Soups,2.0,"5,160", Manhattan,8.0,4.0
5950,33 Gourmet Deli,,,"5,161", Manhattan,16.0,4.0
5951,Lazy Point,,,"5,162", Manhattan,6.0,4.5
5952,Cocu,French,1.0,"5,163", Manhattan,6.0,4.5
5953,Fulton Deli,Deli,,"5,164", Manhattan,10.0,4.0
5954,Wild ink,Asian,3.0,"5,165", Manhattan,5.0,4.5
5955,Chelton's Bar & Grill,Bar,2.0,"5,166", Manhattan,17.0,4.0
5956,Charles Southern Style Kitchen,American,1.0,"5,167", Manhattan,9.0,5.0
5957,Jun Shokudo,Japanese,2.0,"1,156", Brooklyn,14.0,4.0
5958,Greenwich Village Bistro,American,2.0,"5,168", Manhattan,42.0,3.5
5959,Fourth Avenue Pub,Pub,,813, Brooklyn,11.0,4.5
5960,Le Pain Quotidien,Cafe,2.0,"5,169", Manhattan,61.0,3.5
5961,Cafe Nunez,Latin,2.0,"5,170", Manhattan,49.0,3.5
5962,Hale and Hearty Soups,Soups,,"5,171", Manhattan,12.0,4.5
5963,Subway,,,"5,172", Manhattan,11.0,4.0
5964,Two Boots,Pizza,1.0,"5,173", Manhattan,26.0,4.0
5965,Empire Sushi & Asian Cuisine,Sushi,2.0,"5,174", Manhattan,10.0,4.5
5966,Reserve,Pub,2.0,"5,175", Manhattan,17.0,4.0
5967,Horus Cafe On A,Middle Eastern,2.0,"5,176", Manhattan,19.0,4.0
5968,Drop Off Service,Bar,1.0,"5,177", Manhattan,9.0,4.5
5969,THE LCL: Bar & Kitchen,Bar,2.0,"5,178", Manhattan,147.0,3.5
5970,Bar Prima,Italian,2.0,"5,179", Manhattan,9.0,4.5
5971,Blarney Stone W 32nd,Bar,1.0,"5,180", Manhattan,25.0,3.5
5972,99 Cent Fresh Hot Pizza,,,"1,161", Brooklyn,7.0,4.5
5973,Pret A Manger,,,"5,181", Manhattan,9.0,4.5
5974,Il Valentino Osteria,Italian,2.0,"5,182", Manhattan,54.0,3.5
5975,Canal Best Restaurant,Chinese,1.0,"5,183", Manhattan,16.0,4.0
5976,Mango Mango Dessert,Chinese,1.0,"5,184", Manhattan,5.0,5.0
5977,Let's Meat,Asian,2.0,"5,185", Manhattan,20.0,3.5
5978,Chi Dumpling & Noodles,Asian,,"5,186", Manhattan,9.0,4.0
5979,Stax Ice Cream,American,1.0,"5,187", Manhattan,5.0,5.0
5980,Blue Bar at India House,Bar,2.0,"5,188", Manhattan,10.0,4.0
5981,Godiva,,,"5,189", Manhattan,6.0,4.5
5982,Scopa,Italian,2.0,"5,190", Manhattan,14.0,4.0
5983,westbourne,American,2.0,"5,191", Manhattan,6.0,4.5
5984,Jacques Torres,American,2.0,"5,192", Manhattan,9.0,4.5
5985,Szechuan Kitchen,Chinese,1.0,"5,193", Manhattan,10.0,4.0
5986,Zia Maria Little Italy,Italian,2.0,"5,194", Manhattan,28.0,4.0
5987,Apple Tree Supermarket,,,"5,195", Manhattan,11.0,4.0
5988,The Chester,American,2.0,"5,196", Manhattan,84.0,3.5
5989,Benvenuti,Italian,1.0,"5,197", Manhattan,12.0,4.5
5990,Lenwich,American,,"5,198", Manhattan,9.0,4.0
5991,Short Grain,,,144, Jersey City,9.0,4.0
5992,Mamamoo,American,2.0,"5,199", Manhattan,9.0,4.0
5993,Clove Indian Restaurant,Indian,2.0,"5,200", Manhattan,17.0,4.0
5994,Ani Sushi,Japanese,,"1,164", Brooklyn,18.0,4.0
5995,Subway Inn Bar,,,"5,201", Manhattan,6.0,4.5
5996,Met Grill,American,2.0,"5,202", Manhattan,38.0,3.5
5997,Zawa Japanese,,,"5,203", Manhattan,5.0,5.0
5998,Mcmahons Public House,Bar,2.0,731, Brooklyn,23.0,4.0
5999,Cafe Guy and Gallard,Cafe,1.0,"5,204", Manhattan,17.0,4.0
6000,E-Mo Kimbab,Asian,1.0,"5,205", Manhattan,10.0,4.0
6001,Dragon Noodle and Grill,Chinese,,"5,206", Manhattan,11.0,4.0
6002,Subway,,,"5,207", Manhattan,28.0,3.5
6003,BK9 Kitchen & Bar,Caribbean,2.0,719, Brooklyn,34.0,4.0
6004,Mangia,,,"5,208", Manhattan,12.0,4.0
6005,Gotham Pizza,Pizza,1.0,"5,209", Manhattan,15.0,4.0
6006,Subway,,,"5,210", Manhattan,14.0,4.0
6007,FryGuys,American,2.0,"5,211", Manhattan,11.0,4.0
6008,D and D Deli,,,"5,212", Manhattan,6.0,5.0
6009,Ange Noir Cafe,Cafe,1.0,206, Brooklyn,45.0,4.5
6010,The Gyro Shop,American,2.0,"5,213", Manhattan,6.0,4.5
6011,Kum Kau Kitchen,Chinese,1.0,903, Brooklyn,18.0,4.0
6012,Liberty Park Cafe Diner,American,1.0,46, Jersey City,57.0,4.0
6013,Simit+Smith,Mediterranean,1.0,"5,214", Manhattan,9.0,4.5
